--contingency generator
conID,genID,busID,unitID,q(MW) 
2, 76, 307, 76, 21.432912042778327
1, 7, 102, 7, -21.54172531637255
10, 91, 322, 91, -2.2751435519747303
5, 59, 222, 59, 7.706551672537154
10, 24, 121, 24, 77.06171484841107
5, 77, 307, 77, -13.77836513746135
2, 91, 322, 91, -2.443769063309485
5, 82, 315, 82, 2.8541275860748576
6, 83, 315, 83, 2.1112213573487555
1, 49, 215, 49, 3.1044671637170556
6, 11, 107, 11, -1.4279741508918482
7, 16, 115, 16, 2.507749787881682
3, 27, 122, 27, 2.3903226721140594
9, 6, 102, 6, -0.5953571360744394
1, 11, 107, 11, -1.2657125845363042
8, 73, 302, 73, -41.04942334537177
10, 97, 323, 97, 12.965700446301716
7, 52, 215, 52, 2.193056254028412
2, 54, 215, 54, 60.57095702966477
5, 25, 122, 25, 2.868329912868702
2, 22, 116, 22, -21.406435580481503
1, 29, 122, 29, 7.424850237093443
2, 58, 222, 58, 1.6792464255022643
2, 56, 218, 56, 64.96579588162034
3, 58, 222, 58, 1.6702274404697166
4, 53, 215, 53, 5.4281017376532406
6, 90, 321, 90, 43.04661255776664
3, 72, 302, 72, 1.497611792824729
6, 85, 315, 85, 2.082433751019538
2, 8, 102, 8, 23.41922303905392
6, 28, 122, 28, 2.7829084680602874
3, 25, 122, 25, 1.3956960466965265
4, 91, 322, 91, -2.4734987738835224
9, 71, 302, 71, -1.9273089239868546
6, 25, 122, 25, 1.411357688098429
8, 37, 201, 37, -12.59061334031513
9, 33, 123, 33, -27.189341497635876
4, 23, 118, 23, -22.29482096106481
6, 87, 315, 87, 56.978285252847485
2, 87, 315, 87, 56.98709343757459
5, 4, 101, 4, -11.945558755792513
10, 84, 315, 84, 4.667373435687787
5, 57, 221, 57, 47.699289867717006
1, 92, 322, 92, 5.840099442509447e-5
4, 88, 316, 88, 47.9954879774051
5, 66, 223, 66, 11.478932634019014
7, 22, 116, 22, -23.18365658987414
1, 18, 115, 18, 4.654094514304611
6, 53, 215, 53, 5.431344843951574
6, 88, 316, 88, 50.108770060382824
1, 54, 215, 54, 60.196785155140404
10, 65, 223, 65, -18.567379766587194
4, 22, 116, 22, 58.4216441920538
3, 73, 302, 73, -42.42538236384997
2, 80, 313, 80, 1.6760312534643511
