--contingency generator
conID,genID,busID,unitID,q(MW) 
2, 76, 307, 76, -7.950604456130899
1, 7, 102, 7, -17.56281503155115
10, 91, 322, 91, 3.966954459551747
5, 59, 222, 59, 0.11712615125507146
10, 24, 121, 24, 147.28964439931025
5, 77, 307, 77, 10.240605138782614
2, 91, 322, 91, 3.697377783661696
5, 82, 315, 82, 4.03890869189056
6, 83, 315, 83, 2.1149733247440787
1, 49, 215, 49, 4.686233336958478
6, 11, 107, 11, 15.81287252040752
7, 16, 115, 16, 3.145257480076509
3, 27, 122, 27, 4.753449563139859
9, 6, 102, 6, -1.236824206774299
1, 11, 107, 11, 16.00860798128419
8, 73, 302, 73, -17.99742409310388
10, 97, 323, 97, 26.529761344099157
7, 52, 215, 52, 3.3074921276281395
2, 54, 215, 54, 83.30692776468783
5, 25, 122, 25, 7.29820945989804
2, 22, 116, 22, -28.63013307175602
1, 29, 122, 29, 5.015119540144199
2, 58, 222, 58, 1.9149351375485635
2, 56, 218, 56, 74.14064279501899
3, 58, 222, 58, 1.9114756994773894
4, 53, 215, 53, 2.042901382978602
6, 90, 321, 90, 69.7722722942003
3, 72, 302, 72, 0.12234234731775459
6, 85, 315, 85, 3.702818561601529
2, 8, 102, 8, 21.359385450750384
6, 28, 122, 28, -1.0261924480284226
3, 25, 122, 25, 3.640827665570541
4, 91, 322, 91, 3.668368750375983
9, 71, 302, 71, 1.4469977494106918
6, 25, 122, 25, 3.676748873329558
8, 37, 201, 37, -5.714447236560541
9, 33, 123, 33, 45.0938098267486
4, 23, 118, 23, -30.071346961570477
6, 87, 315, 87, 60.157032939227925
2, 87, 315, 87, 60.17796300035349
5, 4, 101, 4, -10.925470418878385
10, 84, 315, 84, 6.9250205363831325
5, 57, 221, 57, 49.073149533580505
1, 92, 322, 92, 7.5975190214317205
4, 88, 316, 88, 41.549711725293974
5, 66, 223, 66, 42.35693613236992
7, 22, 116, 22, -33.53378258394992
1, 18, 115, 18, 3.190994252265389
6, 53, 215, 53, 2.0609428503920104
6, 88, 316, 88, 44.58841188373874
1, 54, 215, 54, 82.81499797728115
10, 65, 223, 65, -25.715191431569487
4, 22, 116, 22, 78.62258861969062
3, 73, 302, 73, -19.230239207991186
2, 80, 313, 80, 4.673602821267985
7, 3, 101, 3, -18.217737131673168
9, 8, 102, 8, -13.537124587965025
8, 93, 322, 93, 3.0209243066755707
3, 95, 322, 95, -2.101271717752276
9, 9, 107, 9, -2.1372945313876848
9, 67, 301, 67, -4.925376416920689
2, 45, 213, 45, -1.8225051279923647
10, 78, 313, 78, 0.11287637842901163
2, 53, 215, 53, 2.088311008990579
3, 14, 113, 14, -36.87942209149698
4, 90, 321, 90, 68.60030003245228
8, 41, 202, 41, -20.25168562583951
9, 83, 315, 83, 2.211469677166236
7, 40, 202, 40, -15.185751923059096
10, 14, 113, 14, -37.01351294141027
2, 78, 313, 78, 4.69885488142662
8, 62, 222, 62, 6.740536436135851
7, 77, 307, 77, 10.270306259821739
3, 78, 313, 78, 4.9919331893222
7, 69, 301, 69, -41.52622650407231
4, 6, 102, 6, -1.1586562245492327
10, 30, 122, 30, -1.733122992572384
7, 27, 122, 27, 4.751432400573495
2, 34, 201, 34, 6.214651486298457
8, 80, 313, 80, 30.19612647286462
9, 34, 201, 34, 6.231718890650856
10, 63, 222, 63, 9.534111874001551
8, 7, 102, 7, -22.593959726026515
10, 40, 202, 40, -15.05705610324035
7, 30, 122, 30, -2.2204060835684363
3, 71, 302, 71, 1.4378579946025627
9, 85, 315, 85, 3.7365422038916143
4, 15, 114, 15, -22.086849658734995
4, 17, 115, 17, 6.683010128495685
5, 5, 102, 5, -3.3094162631345676
8, 6, 102, 6, -1.2198088553306454
3, 42, 207, 42, 23.49520929030545
4, 4, 101, 4, -10.668606044234556
9, 37, 201, 37, -5.733921812808475
1, 14, 113, 14, -39.288193631775115
5, 28, 122, 28, 3.2125617114777327
2, 57, 221, 57, 49.062161147998815
7, 61, 222, 61, 4.02497868635313
10, 90, 321, 90, 81.56036794930279
8, 17, 115, 17, 3.752711158986391
8, 28, 122, 28, -1.0128277838575688
4, 84, 315, 84, 3.3293152190700286
4, 54, 215, 54, 81.40803945585296
3, 59, 222, 59, 0.11022642093954091
3, 46, 213, 46, -11.864299095058923
6, 69, 301, 69, -41.47038522514466
10, 9, 107, 9, 0.4570267411310758
1, 80, 313, 80, 4.6904562169347885
9, 78, 313, 78, 4.643858186669649
3, 60, 222, 60, 1.6472761419414297
4, 73, 302, 73, -19.243620599956692
4, 79, 313, 79, 43.8361823280228
1, 23, 118, 23, 88.1233892640684
7, 5, 102, 5, -3.3007248365517965
10, 68, 301, 68, 1.8118466737706325
1, 44, 207, 44, 1.6257132734668795
10, 34, 201, 34, 7.071244898441344
9, 22, 116, 22, -27.46666358566461
10, 54, 215, 54, 85.82830456638513
7, 81, 314, 81, 21.677764525672984
4, 27, 122, 27, 2.3258195534427633
7, 54, 215, 54, 85.81347534456614
10, 20, 115, 20, 3.636322972086393
6, 23, 118, 23, 88.08198592055341
6, 68, 301, 68, 1.33484631245693
3, 56, 218, 56, 74.16165087107746
2, 40, 202, 40, -15.352252189387826
1, 50, 215, 50, 2.9016194262951385
7, 95, 322, 95, -2.118664565104667
1, 25, 122, 25, 3.6777601283528787
4, 34, 201, 34, 6.120539389189752
4, 21, 115, 21, 88.88696054682552
9, 7, 102, 7, -22.611009160170163
3, 80, 313, 80, 4.958227239994755
6, 80, 313, 80, 4.687131514559854
7, 78, 313, 78, 5.328608691425966
7, 58, 222, 58, 1.8931766290719612
9, 84, 315, 84, 3.4740992604402474
3, 50, 215, 50, 2.9370792207055754
7, 80, 313, 80, 5.280992996117677
5, 65, 223, 65, -26.29517506003657
2, 71, 302, 71, 1.4440871368758446
2, 97, 323, 97, 36.30848273966761
3, 10, 107, 10, -21.703596077601624
5, 58, 222, 58, 1.9153657300483728
3, 98, 323, 98, -5.304553993373546
1, 27, 122, 27, 4.790365030270228
5, 90, 321, 90, 69.9359992247858
1, 12, 113, 12, 0.39411052538253843
4, 20, 115, 20, 6.710334527678386
1, 62, 222, 62, 6.732633417088376
9, 58, 222, 58, 1.9143463931756883
5, 45, 213, 45, -1.9635379233014205
7, 1, 101, 1, 0.025525633557631166
1, 30, 122, 30, -2.1740997143866236
8, 76, 307, 76, -5.886447977809141
1, 35, 201, 35, 1.0357144499811057
7, 99, 323, 99, 86.27680294948114
1, 48, 214, 48, 23.376721168930004
8, 90, 321, 90, 71.01866878294766
8, 96, 322, 96, 1.791502150300574
1, 37, 201, 37, -5.731532960225677
3, 32, 123, 32, -18.013236731959953
10, 71, 302, 71, 1.4326767345420242
3, 79, 313, 79, 43.60304206799486
5, 67, 301, 67, -4.957242493795744
6, 74, 302, 74, -27.598048270414775
4, 59, 222, 59, 0.09652082234442297
10, 4, 101, 4, -9.673192728425759
8, 40, 202, 40, -15.34403063724836
4, 99, 323, 99, 85.68904281498838
3, 99, 323, 99, 83.08971842124427
9, 79, 313, 79, 43.220662961714346
7, 86, 315, 86, 4.4450374329420175
2, 41, 202, 41, -20.259906654926773
7, 73, 302, 73, -19.22295629917099
10, 98, 323, 98, -19.042698309788
6, 81, 314, 81, 22.813191822739878
6, 71, 302, 71, 1.4453736429736794
4, 14, 113, 14, -39.839999594005185
7, 90, 321, 90, 68.61717240806675
8, 46, 213, 46, -12.538439909902849
5, 46, 213, 46, -12.338973317018306
4, 33, 123, 33, 43.85906014541574
2, 27, 122, 27, 4.786155571628292
9, 59, 222, 59, 0.11532148844141767
10, 74, 302, 74, -27.611853615345368
6, 79, 313, 79, 43.29620435377121
10, 13, 113, 13, 25.84086424798242
8, 22, 116, 22, -25.24761803622922
7, 42, 207, 42, 23.67840479478099
2, 33, 123, 33, 50.52165905393854
2, 21, 115, 21, 34.24909505415028
3, 81, 314, 81, 22.17615476986202
8, 89, 318, 89, 76.56606242206757
4, 49, 215, 49, 4.645097846351089
8, 72, 302, 72, 1.560176309713263
8, 33, 123, 33, 45.308279893403956
9, 2, 101, 2, -5.074613266345402
9, 51, 215, 51, 2.825801693194551
5, 70, 301, 70, -20.745015585537534
7, 97, 323, 97, 39.35610851111836
8, 19, 115, 19, 3.292617676001658
6, 21, 115, 21, 27.61712124619624
6, 82, 315, 82, 4.033475489089034
8, 79, 313, 79, 62.361796756724154
9, 77, 307, 77, 10.267859415804368
7, 63, 222, 63, 9.317602331061563
5, 22, 116, 22, -8.674216946888807
6, 1, 101, 1, 0.08364476417071919
7, 92, 322, 92, 7.572846767726084
8, 11, 107, 11, 15.998871506820565
8, 57, 221, 57, 49.13322615468829
9, 72, 302, 72, 0.13199520667366252
10, 8, 102, 8, -12.874057771189479
7, 70, 301, 70, -20.793237968753193
9, 87, 315, 87, 64.28818400475386
9, 94, 322, 94, -0.5866175649198451
1, 76, 307, 76, -7.9474259893772174
6, 59, 222, 59, 0.11519678877268603
4, 68, 301, 68, 1.2626035647018616
2, 73, 302, 73, -19.223585001932836
10, 73, 302, 73, -19.23600926731142
2, 24, 121, 24, 165.06411176995314
10, 12, 113, 12, 2.667258712821514
3, 94, 322, 94, 0.4221139656596308
6, 72, 302, 72, 0.13028331666602633
5, 98, 323, 98, -8.493299620990355
3, 61, 222, 61, 4.058792854437057
1, 24, 121, 24, 165.02579092062393
6, 49, 215, 49, 4.669236736114103
4, 25, 122, 25, 1.212201777042653
10, 11, 107, 11, 18.595575890323385
7, 25, 122, 25, 3.638809425182714
1, 53, 215, 53, 2.0736474537322587
4, 72, 302, 72, 0.10909570324076988
8, 99, 323, 99, 64.88707247821955
10, 5, 102, 5, -2.62366641722402
5, 64, 223, 64, 0.01579103331864728
5, 60, 222, 60, 1.65333138880046
10, 96, 322, 96, 2.2357768820301303
9, 39, 202, 39, 1.6975210307435542
10, 66, 223, 66, 42.70871697346064
5, 12, 113, 12, 0.1835233411729942
7, 51, 215, 51, 3.9973542236299298
7, 13, 113, 13, 23.90549767051602
2, 29, 122, 29, 5.010543482479913
10, 60, 222, 60, 1.88724532771299
1, 31, 123, 31, -32.26735371725813
9, 60, 222, 60, 1.6517467798755108
1, 95, 322, 95, -2.0806894312859874
1, 69, 301, 69, -41.471465397068364
3, 34, 201, 34, 6.133900079408553
1, 75, 307, 75, 34.82197452610302
9, 95, 322, 95, -3.407044102463887
9, 48, 214, 48, 23.356489345017884
2, 35, 201, 35, 1.015352296864265
5, 24, 121, 24, 171.94308885703143
6, 9, 107, 9, -2.272250349877586
8, 50, 215, 50, 2.9140134589934266
7, 71, 302, 71, 1.4446737187147287
4, 69, 301, 69, -41.54999612895999
4, 93, 322, 93, 2.983502695569719
1, 20, 115, 20, 3.303342033868285
3, 33, 123, 33, 51.603068428807624
1, 91, 322, 91, 3.696867468130042
9, 35, 201, 35, 1.0326059131830738
5, 87, 315, 87, 60.522019121587036
2, 5, 102, 5, 3.0294687259847763
7, 74, 302, 74, -27.598799408119387
7, 49, 215, 49, 6.231371895367373
8, 92, 322, 92, 7.5975721002182
9, 5, 102, 5, -3.29106319445326
9, 50, 215, 50, 2.9005282736243703
10, 72, 302, 72, 0.1166950876960347
9, 75, 307, 75, 34.81270763440551
7, 31, 123, 31, -32.86011788701945
3, 62, 222, 62, 6.727990730642787
8, 51, 215, 51, 2.8378606051383533
4, 19, 115, 19, 5.621918285278488
2, 36, 201, 36, -35.863354124321276
9, 38, 202, 38, -0.5507700673872779
5, 11, 107, 11, 15.929728802946096
1, 22, 116, 22, -26.803111285007592
3, 54, 215, 54, 83.76942771459048
3, 15, 114, 15, -19.839562575000897
3, 68, 301, 68, 1.3010218210241067
4, 48, 214, 48, 22.13947978232938
9, 86, 315, 86, 4.511158159493227
4, 10, 107, 10, -21.961165182329314
7, 89, 318, 89, 82.09272965596327
9, 49, 215, 49, 4.68494141744159
1, 94, 322, 94, 0.4372425530018846
10, 23, 118, 23, 104.01688705460316
3, 86, 315, 86, 4.452818999404029
6, 27, 122, 27, 4.7893542269832015
10, 80, 313, 80, 0.12996848716066148
2, 16, 115, 16, 3.2104129452317687
10, 52, 215, 52, 4.705567213229405
2, 38, 202, 38, -0.5574662211285357
7, 6, 102, 6, -1.2465040662524454
2, 94, 322, 94, 0.437756710379016
5, 32, 123, 32, -24.297402822687605
8, 13, 113, 13, 23.300619106118962
2, 47, 213, 47, 7.511956851194083
5, 80, 313, 80, 4.521631412205991
5, 7, 102, 7, -22.62938930350695
2, 66, 223, 66, 42.74703667543899
5, 43, 207, 43, -5.501634284397097
10, 81, 314, 81, 33.0821097981263
4, 62, 222, 62, 6.714916917335703
8, 10, 107, 10, -21.835047493704355
2, 60, 222, 60, 1.6526667726381346
4, 24, 121, 24, 241.69673082737893
1, 88, 316, 88, 44.555718427287204
5, 83, 315, 83, 2.120958557874935
1, 65, 223, 65, -26.017898136565783
10, 15, 114, 15, 3.138445075939999
6, 93, 322, 93, 3.0212577640965654
9, 46, 213, 46, -12.267282571052162
6, 20, 115, 20, 3.3074459488981995
2, 10, 107, 10, -13.173955245740041
8, 29, 122, 29, 5.026511355007376
6, 52, 215, 52, 2.617608414668965
10, 49, 215, 49, 7.7281668962793
4, 11, 107, 11, 15.875125896487143
5, 50, 215, 50, 2.90394651365307
2, 43, 207, 43, -5.486372227884613
7, 67, 301, 67, -5.0051151388514
3, 52, 215, 52, 2.643484610591217
8, 15, 114, 15, -17.218365496315553
4, 55, 216, 55, 7.938445590592126
1, 40, 202, 40, -15.343482605592884
2, 67, 301, 67, -4.9508123121727285
2, 82, 315, 82, 4.033778065125025
2, 95, 322, 95, -2.079989270244078
10, 26, 122, 26, -5.402784696062302
3, 65, 223, 65, -24.961286136162435
7, 37, 201, 37, -5.235913864726529
8, 45, 213, 45, -2.159739510364725
2, 81, 314, 81, 22.81811823006067
5, 85, 315, 85, 3.7049086628865355
5, 23, 118, 23, 116.96501798028804
7, 87, 315, 87, 57.40804618771026
2, 31, 123, 31, -26.988014116591806
4, 63, 222, 63, 9.330817387146736
7, 23, 118, 23, 86.4991887603518
6, 62, 222, 62, 6.732730990768179
8, 82, 315, 82, 6.069810311728895
