--contingency generator
conID,genID,busID,unitID,q(MW) 
1, '1 ', 8, '1 ', 5.3668521229240795
1, '1 ', 1, '1 ', -24.760967715988187
1, '1 ', 3, '1 ', 48.85481477307039
1, '1 ', 2, '1 ', 12.665659885879121
1, '1 ', 6, '1 ', 5.075630237807242
--end of contingency generator
--bus
contingency id,bus id,v(pu),theta(deg) 
0, 4, 0.9953763977877989, 86.75493664564858
1, 11, 1.010386002879043, -4.031199590386715
0, 7, 1.0125707121192236, 87.02314865338526
1, 10, 1.001145302547201, -4.6919388927443535
1, 14, 0.9846327574534931, -5.962204494512179
0, 12, 1.0131717616628257, 86.1898389518206
1, 4, 0.9934918660154684, -3.3956444809453585
0, 13, 1.0058584855030255, 85.89243226408306
1, 12, 0.9852175487681264, -4.931504198211903
0, 14, 0.988823858019157, 84.39277669336832
1, 8, 1.0191821487176183, -0.430111497356336
0, 6, 1.0276246557352835, 87.11892841774508
1, 5, 0.9912277990426704, -2.6474801849385803
1, 6, 1.0274754720409056, -2.968216567142772
0, 5, 0.9931653873695095, 87.49084539780844
1, 7, 1.0110574165423205, -3.1643603412912547
0, 3, 1.022672861735207, 86.34406196162402
0, 8, 1.0197034093420745, 89.75130835889541
1, 1, 0.9982802320241355, 0.09173348581538324
1, 13, 0.998804708062384, -4.619129725675925
1, 9, 1.004592250095051, -4.773288068063776
0, 11, 1.0113346886703325, 86.10724836642704
0, 9, 1.0064942401498231, 85.44011641270674
1, 3, 1.0235384183749348, -3.8430247272001314
1, 2, 1.0044801049916372, -0.9475811521409407
0, 1, 0.9993376212043595, 90.23530385295714
0, 2, 1.0089156226753808, 89.1397990389918
0, 10, 1.0027833271167745, 85.49859854330553
--end of bus
--Delta
contingency id,Delta(MW) 
1, 0.0019896260816224033 
--end of Delta
--line flow
contingency id,line id,origin bus id,destination bus id,circuit id,p_origin(MW),q_origin(MVar),p_destination(MW),q_destination(MVar) 
1, 'BL', 1, 2, 'BL', 24.74950848140054, -20.918399091954598, -24.56535287096466, 16.18601797149381 
1, 'BL', 2, 5, 'BL', 17.679823926033947, 0.3715559900608696, -17.500866340939183, -3.2704790717248216 
1, 'BL', 4, 9, 'BL', 4.452330444021599, 3.866310982491626, -4.452330444021599, -3.6823358803532926 
1, 'BL', 4, 7, 'BL', -1.982566438994614, 2.327404642140152, 1.982566438994614, -2.308462257889687 
1, 'BL', 6, 13, 'BL', 27.304434442905176, 9.075465754932566, -26.785678815026756, -8.05387398405253 
1, 'BL', 7, 8, 'BL', -27.90586775358627, -3.9974118939578602, 27.90586775358627, 5.366853061722168 
1, 'BL', 4, 5, 'BL', -26.151191895935312, 13.831564864720349, 26.269566480121284, -13.45817507145648 
0, 'BL', 12, 13, 'BL', 3.0389544506441837, 0.35505098886264364, -3.0188076869558245, -0.33682296457317307 
0, 'BL', 1, 5, 'BL', 20.87539093723848, -4.237787776126936, -20.637909552028177, 0.33489842613397514 
0, 'BL', 10, 11, 'BL', -6.34544029856562, -1.7241150270698995, 6.380719747230756, 1.8067003251213691 
0, 'BL', 13, 14, 'BL', 8.012771683701658, 1.0858191560880073, -7.9023097153664, -0.8609143750663009 
0, 'BL', 1, 2, 'BL', 24.72929907183601, -26.601187038277203, -24.49917769719434, 21.979993420019355 
1, 'BL', 5, 6, 'BL', 2.4272658321666505, 15.230236086458376, -2.4272658321666505, -14.700296741585873 
0, 'BL', 2, 3, 'BL', 22.629226271199613, -13.991258021771102, -22.328968316591343, 10.736594575420213 
0, 'BL', 4, 5, 'BL', -25.836776155722987, 13.610871823100297, 25.951684389503612, -13.248415963586922 
1, 'BL', 9, 14, 'BL', 9.102436866358374, 3.215472029928037, -8.985058991896352, -2.965793564842386 
0, 'BL', 2, 5, 'BL', 17.74989068277455, 1.802988647826055, -17.566515445146422, -4.710525156317715 
1, 'BL', 9, 10, 'BL', -0.12855293145230462, 4.147554083209116, 0.13398024805155728, -4.13313697372655 
1, 'BL', 3, 4, 'BL', 2.0891668395879606, 16.510624080738353, -1.8975613192475294, -17.323768701502047 
0, 'BL', 7, 9, 'BL', 25.592715123038133, 5.946573060739638, -25.592715123038133, -5.205859978858598 
0, 'BL', 6, 13, 'BL', 20.5071991787824, 6.938479636821398, -20.213607062219012, -6.360305108859052 
0, 'BL', 2, 4, 'BL', 23.828120101211795, -1.3429494453787356, -23.50390325197347, -1.0880614141172487 
1, 'BL', 1, 5, 'BL', 20.865236087507014, -3.842576550951094, -20.62815189801759, -0.04729774997736058 
1, 'BL', 10, 11, 'BL', -6.863413987795155, -1.849633647959422, 6.904777079711067, 1.9464600838434762 
0, 'BL', 4, 9, 'BL', 4.265452558705335, 3.8768683415989926, -4.265452558705335, -3.701745540844655 
1, 'BL', 6, 11, 'BL', 11.352612309575989, 3.4967107788249336, -11.225659208302233, -3.2308551055951966 
1, 'BL', 12, 13, 'BL', -4.536411776818369, -1.6759266363791312, 4.589642138925541, 1.7240874401904023 
1, 'BL', 2, 4, 'BL', 23.82123212774377, -2.7896078199976273, -23.493756406553075, 0.39003869196170626 
0, 'BL', 9, 10, 'BL', 0.3897892356748116, 4.274019408200729, -0.38400546166241156, -4.258655406187472 
0, 'BL', 3, 4, 'BL', 1.849017214955495, 14.943407852297014, -1.6906466910020583, -15.842643604471789 
0, 'BL', 9, 14, 'BL', 8.066619091594646, 2.847078145162186, -7.974801273265001, -2.6517693439666914 
0, 'BL', 6, 11, 'BL', 10.816861380817329, 3.332389224313829, -10.701637149550947, -3.091095271914469 
